,bytes,Tamaño en bytes,Recibido en bytes,tiempo tardado,bw 
3076,3960,41346,41346,0.0001475811004638,267.1793214862682
3081,3970,41346,35730,0.0001587867736816,214.59459459459455
3090,3980,41346,31840,0.0001556873321533,195.03828483920367
3092,3990,41346,41346,0.0001685619354248,233.92362093352196
3099,4000,41346,41346,0.0001394748687744,282.7076923076923
3103,4010,41346,41346,0.0001511573791503,260.85804416403784
3106,4020,41346,37326,0.0002374649047851,149.90361445783134
3114,4030,41346,41346,0.0001459121704101,270.2352941176471
3117,4040,41346,33266,0.00016450881958,192.8463768115942
3123,4050,41346,41346,0.0001876354217529,210.14485387547649
3126,4060,41346,41346,0.0001399517059326,281.7444633730835
3132,4070,41346,41346,0.0001749992370605,225.31880108991825
3139,4080,41346,37266,0.0001571178436279,226.19726858877087
3141,4090,41346,33166,0.0001494884490966,211.585326953748
3150,4100,41346,41346,0.0001478195190429,266.7483870967742
3152,4110,41346,41346,0.000148057937622,266.3188405797101
3157,4120,41346,33106,0.0001552104949951,203.4162826420891
3164,4130,41346,41346,0.0001657009124755,237.96258992805755
3170,4140,41346,37260,0.0001492500305175,238.08306709265176
3174,4150,41346,37350,0.0001502037048339,237.14285714285717
3176,4160,41346,41346,0.0001637935638427,240.73362445414847
3183,4170,41346,41346,0.0001606941223144,245.37685459940653
3189,4180,41346,41346,0.0001451969146728,271.5665024630542
3193,4190,41346,41346,0.0001587867736816,248.32432432432432
3200,4200,41346,41346,0.0001630783081054,241.7894736842105
3204,4210,41346,41346,0.0001542568206787,255.61669242658425
3206,4220,41346,41346,0.0001521110534667,259.22257053291537
3211,4230,41346,41346,0.000176191329956,223.79431664411368
3218,4240,41346,41346,0.000206708908081,190.7543252595156
3224,4250,41346,29750,0.0001604557037353,176.82020802377414
3226,4260,41346,41346,0.0001423358917236,277.0251256281407
3235,4270,41346,25620,0.0001435279846191,170.2325581395349
3240,4280,41346,41346,0.0001461505889892,269.79445350734096
3242,4290,41346,30030,0.0001535415649414,186.5217391304348
3247,4300,41346,41346,0.0001423358917236,277.0251256281407
3251,4310,41346,34480,0.0001475811004638,222.81098546042003
3256,4320,41346,41346,0.0001850128173828,213.1237113402062
3262,4330,41346,41346,0.0001602172851562,246.1071428571429
3268,4340,41346,39060,0.0001502037048339,248.0
3273,4350,41346,41346,0.000145673751831,270.6775777414075
3277,4360,41346,41346,0.0001447200775146,272.4612850082372
3281,4370,41346,41346,0.0001423358917236,277.0251256281407
3288,4380,41346,41346,0.0001492500305175,264.1916932907348
3293,4390,41346,41346,0.0001447200775146,272.4612850082372
3296,4400,41346,35200,0.0001494884490966,224.56140350877192
3304,4410,41346,41346,0.0001544952392578,255.22222222222223
3310,4420,41346,41346,0.0001463890075683,269.35504885993487
3313,4430,41346,41346,0.0001513957977294,260.4472440944882
3318,4440,41346,26640,0.0001616477966308,157.16814159292036
3322,4450,41346,36896,0.000154972076416,227.0523076923077
3326,4460,41346,41346,0.0001466274261474,268.9170731707317
3333,4470,41346,41346,0.0001459121704101,270.2352941176471
3339,4480,41346,32386,0.0001664161682128,185.59312320916905
3344,4490,41346,36856,0.0001511573791503,232.52996845425864
3347,4500,41346,41346,0.0001647472381591,239.34008683068015
3351,4510,41346,41346,0.0001521110534667,259.22257053291537
3357,4520,41346,41346,0.0001773834228515,222.29032258064515
3364,4530,41346,41346,0.0001640319824218,240.38372093023256
3367,4540,41346,27726,0.0001585483551025,166.77293233082708
3371,4550,41346,36796,0.0001554489135742,225.7423312883436
3376,4560,41346,32226,0.0001561641693115,196.8
3385,4570,41346,36776,0.000152587890625,229.85
3389,4580,41346,41346,0.0001468658447265,268.4805194805195
3391,4590,41346,22986,0.000154972076416,141.4523076923077
3399,4600,41346,41346,0.0001416206359863,278.42424242424244
3404,4610,41346,41346,0.0001518726348876,259.62951334379903
3407,4620,41346,32340,0.0001540184020996,200.24767801857584
3414,4630,41346,41346,0.0001473426818847,267.6116504854369
3416,4640,41346,37120,0.0001704692840576,207.66433566433565
3421,4650,41346,23250,0.0001845359802246,120.15503875968992
3427,4660,41346,32620,0.0001666545867919,186.66666666666663
3433,4670,41346,28020,0.0001559257507324,171.37614678899084
3440,4680,41346,41346,0.0001788139343261,220.512
3441,4690,41346,32830,0.0002038478851318,153.5906432748538
3450,4700,41346,41346,0.0002315044403076,170.3233779608651
3453,4710,41346,41346,0.00014328956604,275.18136439267886
3459,4720,41346,37760,0.0001497268676757,240.5095541401274
3463,4730,41346,28380,0.0001823902130126,148.3921568627451
3468,4740,41346,41346,0.0001561641693115,252.4946564885496
3472,4750,41346,33250,0.0001752376556396,180.95238095238096
3480,4760,41346,41346,0.0002672672271728,147.53256021409456
3481,4770,41346,41346,0.000148057937622,266.3188405797101
3490,4780,41346,38240,0.0001666545867919,218.826895565093
3491,4790,41346,41346,0.0001463890075683,269.35504885993487
3500,4800,41346,41346,0.0001602172851562,246.1071428571429
3504,4810,41346,41346,0.0001678466796875,234.92045454545453
3506,4820,41346,41346,0.0001564025878906,252.109756097561
3514,4830,41346,28980,0.0001482963562011,186.36655948553056
3519,4840,41346,41346,0.0001425743103027,276.561872909699
3523,4850,41346,38800,0.0001642704010009,225.25399129172715
3528,4860,41346,41346,0.0001523494720458,258.8169014084507
3532,4870,41346,41346,0.0001444816589355,272.91089108910893
3540,4880,41346,41346,0.0001473426818847,267.6116504854369
3544,4890,41346,29340,0.0001542568206787,181.39103554868623
3550,4900,41346,41346,0.0002191066741943,179.9608269858542
3555,4910,41346,41346,0.0001471042633056,268.04538087520257
3557,4920,41346,34440,0.0001661777496337,197.64705882352945
3561,4930,41346,34510,0.0001440048217773,228.5430463576159
3570,4940,41346,41346,0.0002126693725585,185.4080717488789
3572,4950,41346,41346,0.0001449584960937,272.0131578947368
3578,4960,41346,41346,0.0001499652862548,262.9316375198728
3584,4970,41346,41346,0.0001463890075683,269.35504885993487
3586,4980,41346,41346,0.0001747608184814,225.6261937244202
3591,4990,41346,41346,0.0001509189605712,261.2701421800948
3597,5000,41346,41346,0.0001699924468994,231.95511921458623
3601,5010,41346,41346,0.0001909732818603,206.47191011235955
3607,5020,41346,41346,0.0001671314239501,235.92582025677603
3615,5030,41346,41346,0.0001599788665771,246.47391952309985
3618,5040,41346,41346,0.0001790523529052,220.21837549933423
3625,5050,41346,41346,0.0001683235168457,234.2549575070821
3626,5060,41346,41346,0.0001518726348876,259.62951334379903
3635,5070,41346,31206,0.0001556873321533,191.15467075038285
3639,5080,41346,41346,0.0001502037048339,262.51428571428573
3642,5090,41346,31166,0.0001502037048339,197.87936507936507
3648,5100,41346,26046,0.0001428127288818,173.92988313856426
3655,5110,41346,41346,0.0001490116119384,264.6144
3658,5120,41346,36226,0.0001580715179443,218.5580693815988
3663,5130,41346,41346,0.0001757144927978,224.40162822252373
3669,5140,41346,36206,0.0001506805419921,229.1518987341772
3674,5150,41346,41346,0.0001990795135498,198.06467065868264
